dataset,product_title,author,rating,review_headline,review_text,review_date
books_ucsd,Dance to the Tune of Life Biological Relativity,Denis Noble,3,A great book for beginners.,"Noble's professional papers are dynamite, a great antidote to the reductionist (and false) models of standard population biology. This is a book for beginners, though. If you want to see the power of the author's thought, read his papers.",33:44.4
books_ucsd,Fields of Color The Theory that Escaped Einstein,Rodney Allen Brooks,4,Quirky but lively and informative,"Brooks' extensive use of great quotes makes this book fun to read, even if you already know the material in it. Pitting the 'particle' view against the 'field' view is rather silly, since both help us understand what is going on. Brooks' dislike of Feynman is quite indefensible, but even that is fresh air since everyone seems to love Feynman (me too). The notion that Schwinger's version of QFT 'solves' all sorts of QM problem is not persuasive at all.",42:09.8
books_ucsd,The Particle at the End of the Universe: How the Hunt for the Higgs Boson Leads Us to the Edge of a New World,Sean Carroll,5,Excellent popular science writing,"Carroll knows how to present highly complex mathematical material without the math. This book borders on being a bit out of date, but still very worthwhile.",43:22.0
books_ucsd,Inward Bound: Of Matter and Forces in the Physical World,Abraham Pais,5,Five stars is not enough...,"Pais is a fastidious historian and a talented physicist. This book is an incredible tour de force. It is true that one must care a lot about the details of modern physics to appreciate the book, and considerable background in particle physics makes the books more impelling.",59:37.5
books_ucsd,Introduction to Cosmology,Barbara Ryden,5,Good undergrad level textbook,"Low ratings for this book are by those who don't have the math skills. The skills are quite low, however. You just have to like going through lots of simple algebra arguments. It's really logic + empirical evidence.<br /><br />Much of physics is simple equations that no one knows how to solve. Cosmology is simple equations (one you get beyond the difficulties of general relativity theory, which Ryden just finesses) plus lots of very difficult empirical analysis.<br /><br />I liked this text a lot, although the derivation of the basic equations was hand-waving to the point of being incorrect. I would have preferred just stating the equations (Friedmann model, Robertson-Walker metric).",27:35.5
books_ucsd,Why Free Will Is Real,Christian List,3,An elementary introduction to the philosophy of free will,"This book is a straightforward introduction to the main issues in the philosophy (and physics) of free will, integrated with the author's own theory, which is a defense of 'compatibilist' free will.<br /><br />The author argues that free will is an emergent property of complex physical systems (brains), so to argue against its existence on the grounds that modern physics asserts deterministic dynamics (or determinism plus pure randomness) is a category error.<br /><br />List is surely correct to say that free will is an emergent property of complex physical systems, and is one of many such emergent properties quite incapable of even being described, much less explained, by physical theories as we know them. However, his justification of free will in those terms will not satisfy someone who believes that emergent properties are determined by lower-level physical properties, and their 'emergence' is simply a description of our inability to provide an explanatory model of how elementary processes entail higher-level outcomes. For instance, we may not be able to use quantum mechanics to explain complex chemical reactions, but we can legitimately hold that these reactions are causally determined by quantum-level phenomena.<br /><br />List's position makes sense to me only if conscious choice not only supervenes on brain processes, but actually causes these brain processes. Is this possible? Indeed it is, but it requires that there be physical forces that go beyond the four forces described in modern physics (gravity, weak, strong, and electromagnetic). This is likely to be the case, and hence free will is likely to be the case. But decision one way or the other depends on the future results of scientific research.",43:40.0
books_ucsd,The Ghost in the Atom,Paul Davies,5,Fascinating interviews with the greats of quantum mechanics,"I was surprised at the amount of insight provided by these radio interviews more than thirty years ago with the major interpreters of quantum mechanics. Most of the interviewees believed that experiments would show the superiority of one view over the other, although their ideas for experiments were quite vague. This of course has not materialized.",30:31.6
books_ucsd,Facts and Mysteries in Elementary Particle Physics,Martinus Veltman,5,"High quality explanation, widely accessible","The explanations, without equations, is excellent. The vignettes of the creators of the Standard Model are fascination and amusing. The book is well put together with find illustrations and photographs.",09:51.6
books_ucsd,Mind and Matter: The Tarner Lectures Delivered at Trinity College,Erwin Schrodinger,5,Insightful and surprisingly relevant these many years later,"What can we know about ourselves and the material world we live in? Schrodinger suggests two basic principles. First, we can understand the world, in the sense that we can comprehend how certain material regularities are organized, and we can increase our understanding indefinitely through the scientific method. Second, we know we are part of the material world, but we mus stand outside this world to perceive it and understand it.<br /><br />There is no scientific understanding of consciousness, says Schrodinger, because there is no way to use part of the material world to understand all of the material world.<br /><br />Consciousness thus lies outside the purview of science and must be approached using the tools of spirituality (e.g. the Upanishads).<br /><br />Schrodinger identifies spirituality with religion. I suggest that this is a really bad idea. Religion is a social institution that has produced so much drivel and falsehood that it is very dangerous to take any of it seriously.<br /><br />Otherwise, Schrodinger offers us many insights worth following up.<br /><br />It will be obvious to anyone trained in quantum mechanics that his approach to consciousness is deeply influenced by the measurement problem: how do we explain the 'collapse' of the wave function into a specific measurement? Schrodinger avoids dealing with this directly in the book, but it always lurks in the background.",19:46.8
books_ucsd,The quantum quark,"Watson, Andrew",5,Packed full of description of the particle zoo and especially of the experimental evidence,"The author knows and loves colliders. This book presents QED and QCD without equations, but with lots of description.",06:01.0
books_ucsd,Gods and Robots,Adrienne Mayor,5,"My wife, who is an artist, liked it a lot.",This was a Christmas present that my wife read from cover to cover and liked a lot. I read some and liked it too.,16:03.3
books_ucsd,Critical Turn in Education,Isaac Gottesman,5,It's about me!,I liked the fact that it was about me ;).,14:35.1
books_ucsd,Freedom's Laboratory,Audra J. Wolfe,3,"Five stars for historical scholarship, one star for historical interpretation","The historical scholarship is excellent and the writing is graceful and often gripping. The book would have been better if the author had abandoned her attempt at providing a larger ""interpretation"" of the period. Early in the book, for instance, she writes: ""That many of the most outspoken advocates for scientific freedom were also deeply committed to US policies that exacerbated global inequality has made this book, at times, troubling to write."" What policies? We never find out. Evidence that US policies did exacerbate global inequality? We never learn. Which advocates? We are not told. Andy why should this be troubling? Are we supposed to believe that advocates for scientific freedom are ""good people"" who hate inequality? Why should we believe this and be troubled when they are not?<br /><br />A couple of pages later the author argues that a scientific researcher (Glass) ""refused to see any conflict between studying DNA differences across races yet being a strong supporter of African American civil rights. I can't imagine a sillier statement from a supporter of scientific freedom.<br /><br />The author should have also left the Epilogue out of the book. It is a collage of politically correct statements, warmed-over post-modernism, and defense of the idea that one cannot be an objective scientist unless one is a highly moral, committed egalitarian. Spare us, please.",13:45.8
books_ucsd,A crisis of beliefs,Nicola Gennaioli,4,Exciting and fact-bounded interpretation of the 2008 financial crash---but might be wrong,"Gennaiolo and Shleifer (GS) are justly eminent financial and macroeconomic economists who have worked long and hard (with several colleagues) to provide a cogent analysis of the financial crisis of 2008. Their main finding is that the dominant ""rational expectations"" theory is not at all supported from the data, and the common superficial explanations of the crisis (""too big to fail,"" ""criminal banker subterfuge"") are wrong. Their alternative explanation is solidily in the behavioralist economics camp (to which I admit proudly to belong). The suggest that investor beliefs are systematical biased by what psychologists Daniel Kahneman (Nobel prize winner in economics) and Amos Tversky (wh died too young to receive the price) call the ""representative heuristic."" This failure of rational behavior leads investors to underestimate the risk of severe downside failure and excessively to extrapolate current trends into the future.<br /><br />The evidence certainly does suggest that some sort of ""bandwagon effect"" is responsible for the housing bubble and subsequent financial meltdown, but there is a serious objection to any explanation in terms of investor irrationality: rational investors should simply do better, eventually crowding out the incompetent. Of course, there is a whole literature on this going back to Keynes himself suggesting that rational investors have to be awfully well-heeled to counteract a stampede of crazies. And there are plenty of well-heeled rational investors.<br /><br />An alternative to both rational expectations and irrational investors that makes great sense and that I have worked on for a number of years is ""adaptive expectations."" GS use this term to mean ""mechanical extrapolation"", but in the evolutionary game theory literature the term means ""try to mimic the strategy of the most successful agents in the economy."" Adaptive expectation in this sense are rational provided we recognize that market economies are complex dynamic systems, so it is impossible to solve a plausible model of market dynamics, and hence one cannot optimize with respect to such a model. Adaptive expectations are the best we can do, and they obviously produce outcomes similar to GS's irrational beliefs model; (a) rare events are underrepresented usually because agents who plan for them lose; (b) the success bandwagon effect occurs because in a boom, the most successful agents are doing what the bubble expectations tell them to do.",17:42.7
books_ucsd,QBism,Hans Christian Von Baeyer,2,QBism is Outlandish and Sophmorically Bizarre,"Interpretations of quantum mechanics (QM) that are observationally equivalent to QM can be important if they lead to novel explanatory models based on extending the range of the interpretation to new phenomena. Think, for instance, of the Hamiltonian formulation of Newtonian mechanics. Otherwise, there is no scientific basis for preferring one interpretation over another.<br /><br />There is currently no scientific basis for preferring one interpretation of QM (including QBism) over another. People who say one is right and another is wrong are just emoting. I will have none of it.<br /><br />Of course, some interpretations may be preferred on metaphysical grounds, whatever that means. If there is a candidate for rejection on metaphysical grounds, QBism is it. The interpretation rests on the rejection of a frequency interpretation of probability in favor of a Bayesian (subjective) interpretation. In fact, there are several different notions of probability in the scientific literature, and both frequency and subjective models are valid under different conditions. But the frequency interpretation is perfectly valid for QM, and the subjective interpretation is simply outlandish. Can one really believe there was no spectrum to the hydrogen atom until someone saw such a spectrum? Do QM electron ic devices work because of human subjectivity? Or quantum computing? Outlandish is the subjective interpretation in these cases.<br /><br />The book devotes a shoddy chapter to the critique of frequency models. It starts by observing that you can't tell if a roulette wheel is ""fair"" by observing one outcome (e.g., the ball lands on slot 11). It then says that 100 trials of flipping a coin can be represented by a roulette wheel with 2 to the power 100 slots. You can't tell if the wheel is fair by the outcome because all outcomes are equally likely. This is true. But suppose before I spin this wheel i assert that the probability that the outcome will have between 45 and 55 ones. This will be correct with very high probability. If the outcome has five ones, the wheel is unfair with probability close to one.  This is the basis of all of statistical mechanics. The book's critique is simply wrong.<br /><br />The book is well writien and fun to read, although quite unconvincing.",18:48.9
books_ucsd,Through two doors at once,Anil Ananthaswamy,5,Stunning descriptions of key experiments and their interpretation,"The first four chapters are well-written introductions to the interpretation of quantum mechanics. Chapter 5 is absolutely brilliant in explaining the quantum eraser phenomenon, which is central to any interpretation of quantum mechanics. Chapter 6 is a lucid introduction to David Bohm's non-local hidden variable interpretation. Bohm's theory is ingenious, but it does not extend to relativistic quantum mechanics, is horribly non-local in a 'choreographic' way---all of nature conspires to produce quantum mechanic's weird behavior. I think of Bohm's work as a complicated system with no benefits beyond the simpler presentations of quantum mechanics. Nor has it led to any new insights with explanatory power. Physicists who believe in this theory are religiously inspired.<br /><br />Chapter 7 presents a number of interesting alternative interpretations, but none is at all convincing. Chapter 8 presents the many-world theory of Everett, Deutch, et al. This theory has absolutely no empirical support, and depends on the universality of Schrodinger's equation, for which there is no evidence. Even if the Universe is a massive superposition of quantum states, no one knows what superposition really means (it has never been seen), and the many-worlds interpretation of all branches existing at the same time is quite sloppy hand-waving.<br /><br />This is a great book with a wealth of material but elementary and sophisticated. Feynman was right, however: no one understand what quantum mechanics means. But if you are a realist (I certainly am), finding the meaning will vastly expand our understanding of the natural world.",36:23.8
books_ucsd,The lies that bind,Anthony Appiah,4,A Fatal Blow to the (pseudo-)intellectual foundations of Identity Politics,"This is not a work of philosophy, but rather a personal memoir and an exposition of (pre-post-modern) Sociology 1. We all have multiple sources of our personal identity, and an attempt to reduce one's identity to a single 'essential' identity (cultural, religious, ethnic, or race) is bound to be a lie. But it may be a lie that binds disparate individuals together in a common task. Feminists bind all females together, radical black activists bind their racial compatriots together on the basis of skin color, Marxists try to bind workers together on the basis of their common relationships as economic agents.<br /><br />These are lies, and mostly do not work well, but sometimes they work well enough to achieve important political goals.<br /><br />Contemporary left-wing identity politics  promote lies, but lies that cannot help the oppressed because minorities can effectively agitate for inclusion, but by sowing discord, must lose. Moreover, the idea that all 'minorities' will bind together on the basis of being a 'minority' has never worked in the past and is unlikely to work in the future.",37:38.3
books_ucsd,John S. Bell on the Foundations of Quantum Mechanics,K. Gottfried,5,Lots of foundational material here unavailable elsewhere,"John Stuart Bell is one of the most powerful contributors to the foundation of quantum mechanics since Bohr, Einstein, and Heisenberg. These writing are not easy to follow without the appropriate training, but the are uniformly insightful.",20:13.1
books_ucsd,Toughing it out at Harvard,Fran Worden Henry,5,Brilliant and Highly Personal Insight into the Feminist Revolution in Business,"Fran Henry must have kept a heavily annotated diary of her two years at the Harvard Business School. She deals both the intimate details of her interaction with students and professors, as well as the larger issues concerning a young woman in what only a few years before had been a bastion of male privilege. Her task, which she completes successfully, is to compete effectively in a world dominated by the ""manly virtues"" without abandoning her cherished female virtues (cooperation, caring for others, behaving ethically, contributing to society, etc.).<br /><br />HBS certainly taught a lot of useful skills in that period, but it borrowed a faulty model of human motivation from the economic theory of the time. According to this theory all agents are really selfish, no matter what they profess or how hard they try to hide it. Therefore, the theory taught, there is no true caring for others, no true allegiance to a team, no true less-than-selfish cooperation. This then became the default ethic of most large corporations, leading to a high level of CEO corruption and malfeasance, and encouraging subordinates to overlook these failing because it was ""just human nature.""  Henry describes all this quite well. The theory, by the way, is simply empirically false.",17:41.2
books_ucsd,INSURGENT COLLECTIVE ACTION AND CIVIL WAR IN EL SALVADOR.,Elisabeth Jean Wood,5,Research of fundamental importance for understanding collective action throughout history and across the world,"Other reviewers have remarked on the highly crafted, deeply insightful and even empathetic character of this book. I want to stress the importance of the message for understand collective action in general. According to standard rational choice theory, purely self-regarding individuals will only join in a collective action if they can gain more by participating than free riding on the participation of others. Wood shows that participants in El Salvador insurgency did not expect to gain more than non-participants, and in fact did not gain more, because non-participants were not discriminated against.<br /><br />I have found that this is true of virtually all collective actions. I live in a country in which we have fundamental human rights, universal suffrage, and enjoy democratic elections with separation of powers. These gifts were secured by collective actions in which common people sacrificed for political goals that would benefit all, not just themselves. Wood would doubtless have found similar human sentiments if she had been around to interview the people who made our freedoms possible.",07:06.2
books_ucsd,Quantum Mechanics in Hilbert Space,Eduard Prugovecki,4,Brings von Neumann's 1932 book to life,"The author is not a well-known master, but he is a thorough and even elegant expositor. Galois was wrong to say &#34;Only study the masters.&#34; This books is a carefully developed exposition of von Neumann's approach in his masterful 1932 book. Von Neumann's book is quite readable, although the typeface is awful and the book is not well written. I like this exposition a lot.",44:31.9
books_ucsd,"Incompleteness, Nonlocality, and Realism",Michael Redhead,5,"Serious, important contribution","This book summarizes many important contributions to the foundations of quantum mechanics, centering on the question of QM's violation of the principle of locality in special relativity. The presentation is excellent, although you should be comfortable with quantum mechanics formalism. Redhead's own contributions to the meaning of locality are important and interesting. The presentation of the Kochen-Specker 'paradox' is excellent.",51:19.6
books_ucsd,Foundations of Quantum Mechanics,Travis Norsen,5,First rate philosophy of physics,"Norsen's treatment of locality is the best I have ever seen, and quite persuasive. The take-home is that the failure of local causality was present from the first in QM, although Schrodinger tried for a while to deny it. Certainly Einstein knew this from the first, because the collapse of the wave function is a non-local event. Einstein did not like this failure and the EPR paper was an attempt to show QM is incomplete (i.e., there are hidden variables). Now here I think Norsen drops the ball (or correct me, dear reader, if I am wrong), because he claims that Bell's 1964 paper is really a proof of non-local causality, not the impossibility of hidden variables. What this paper shows is that there is no locally causal hidden variable model. This does NOT follow from the Copenhagen interpretation of QM, from deBroglie-Bohm, or anything else.<br /><br />Norsen's untangling of locality, hidden variables, the EPR argument, and deBroglie-Bohm. can be summarized as follows (my summary, not Norsen's): EPR show that local causality implies realism; realism means hidden variables; Bell shows that QM plus hidden variables contradict local causality; Bohm shows that hidden variables are possible in QM; experiment confirms Bell. Hence local causality is false---QM is in conflict with special relativity.<br /><br />I do not agree with his defense of Bohm's theory. There is no evidence for it and it does not extend to relativistic quantum mechanics. Moreover, it models may particles (e.g., electrons in the ground state of an atom) as having zero momentum. This is a lot worse than saying there are several &#34;superposed&#34; momenta. In the end, this theory  s just a balm for some people's metaphysics. Occam's razor favors the more empirically founded Copenhagen interpretation, with all of its ambiguities and clearly provisional nature.<br /><br />Norsen provides a spirited defense of the Many Worlds theory, but it also must be rejected because there is no evidence for it. It is not outlandish, as some would have it (the Universe increases its degree of superposition over time, but the various Hilbert basis states are in configuration space, not physical space, so there are no real &#34;splitting&#34; of universes into &#34;parallel&#34; universes as some would have it. The<br />&#34;relative state&#34; formulation is elegant, but this approach cannot handle probabilities.<br /><br />I wish Norsen had dealt more with decoherence, which is barely mentioned in the book.",48:53.1
books_ucsd,The order of time,Carlo Rovelli,2,"Confusing mixture of fact, speculation, and humanistic philosophy","It is a fact that instead of past, present, and future, we have past light cone, space-like separation, and future light cone for each point in space-time. It is true that the time registered by two clocks that are moving relative to each other, or experience difference gravitation fields, will tell different times. It is true that a particle travelling in space-time will have a unique proper time, but this will differ from the age of the particle as measured by a distinct observer. Many other facts about our universe are well explained by Rovelli.<br /><br />Much of the rest that Rovelli writes is speculative philosophy or speculative physics. Rovelli does not suggest otherwise, but he constantly attempts to convince the reader of propositions for which there is no evidence. The most important of these is his explanation of the relationship between entropy and the arrow of time. The fact that neither the second law of thermodynamics or the arrow of time can be derived from the fundamental laws of physics has been known and discussed for a century and a half. Some physicists believe that we can explain both by positing that the Big Bank was a very low entropy state. Rovelli embellishes on this by adding the anthropic principle and the multiverse hypothesis; in our corner of the Universe, things started out as super low entropy, but elsewhere is was probably very different. this is pure speculation. Moreover, I have never understood the attractiveness of the &#34;low entropy Big Bang&#34; theory of the arrow of time or the Second Law. The assumption works in cosmological models with a few variables, but it does not explain why my morning coffee gets cold while my evening beer gets warm.<br /><br />This book is fun, but it is mostly idle speculation and futile attempts at unifying science and humanism.",10:12.4
books_ucsd,Post-truth,Lee C. McIntyre,3,Read it a weep. Or give a sardonic chuckle.,"Virtually everything argued for in this book is true and accurate. It is all also well known and boring, unless you just awoke from a three year coma.<br /><br />There are deep and serious theoretical issues involved in understanding when &#34;facts&#34; are accepted as such by a segment of the population. You won't find out about these issues in this book, and in fact, the question currently has an unknown answer.",42:44.2
books_ucsd,"The perils of ""privilege""",Phoebe Maltz Bovy,2,The Poverty of the Social Justice Warriors Revealed,"I have been privileged in so many ways in my life. I am privileged to grow up in a society where my forefathers fought and died to construct a society based on freedom of expression, tolerance, and democracy. I am privileged to have had parents and grandparents with good values who worked hard to create a good life for themselves and their loved ones. I am privileged to have been endowed with a sound mind in a sound body. I have been privileged to be alive at all, and I am privileged to have my parents' generation successfully destroy fascism, a movement that destroyed much of my grandparents' generation in Europe.<br /><br />I am lucky to have been so privileged. I do not pride myself on my worldly success because I understand that without these privileges, I would have accomplished exactly nothing. I have dedicated my life in part to creating a world in which more people can enjoy privileges such as mine.<br /><br />But only in part, because I have other worthy personal goals.<br /><br />And I will never, never, be shamed into apologizing for my privileges. To do so would sully the memory of those who have fought and died to make my life, and the others with privileges similar to mine, possible. The moral weakness of the social justice warrior movement's attempt to make the privileged feel ashamed of their privileges is just this: it betrays the legacy of those who have fought and died to make our lives possible.<br /><br />The strategic weakness of the critique of privilege movement is simply that it will never even dent the social injustices around us. This is the subject of this book, although I must say that they author never gets around to this point until the final chapter, and never really argues for it. But it doesn't need much argument. Privileged groups cannot be shamed into giving up their privileges. They can, of course, be convinced that more should be done to improve the lot of the less privileged, but only by saying what precise measure can be implement to that end. The social justice warriors are a rather pathetic in this regard. I look forward to more promising movements in the future for progressive social change.",32:24.8
books_ucsd,CRITIQUE PURE TOLERANC,Robert Paul Wolff,1,Threatening Words from the Pretenders to Cultural Hegemony,"When I was a grad student at Harvard (about 1967 or so) I was in the anti-war movement and fancied myself a Marxist (whatever that was). My friend John C was an undergrad in the movement, and was very brilliant. John related to me that his history teacher, Barrington Moore, Jr., (one of the authors of this book) gave him a bad grade on a paper because, despite judging the paper as very well done, he disagreed with it. I was appalled. Never in my life have I given a student a grade based on whether I agreed with the paper or not (of course, I expect papers to be factually correct, but to embrace my political or philosophical prejudices).<br /><br />A couple of years later I was an Assistant Professor and read Critique of Pure Tolerance. I quite hated it. It espoused a doctrine of the objective truth of what are in fact simply personal opinions with emotive value but no fact value. I also read Herbert Marcuse's One-Dimensional Man, which I also hated. I had lunch with Marcuse when he was lecturing in Cambridge, Ma. I quite liked Marcuse because his was capable of changing his mind, and was mentally vigorous at an advanced age (most of my colleagues ceased thinking beyond tenure). I told him that he and his critical studies comrades were true totalitarians. They hoped for a workers' revolution, after which they would be appointed Cultural Commisars by the Great Leader of the working class, and they would teach people what to think.<br /><br />At any rate, this book is the enemy of real critical dialog. The brainless post-modern humanities professors would happily feed it to their gullible students if it weren't written by a cis white male who use too many difficult words.",53:49.0
